BTop,BJng,BMid,BAdc,BSup,RTop,RJng,RMid,RAdc,RSup,Winner
0.542403,0.504717,0.533333,0.523989,0.534702,0.558252,0.509972,0.454766,0.504505,0.439394,0
0.479853,0.518156,0.497972,0.532787,0.514382,0.516867,0.444926,0.481038,0.499863,0.484816,1
0.517039,0.48645,0.561508,0.472814,0.514382,0.516867,0.486278,0.505703,0.499863,0.484816,1
0.509864,0.504318,0.491429,0.505682,0.524819,0.44523,0.523727,0.506708,0.497414,0.504491,0
0.500566,0.505097,0.502868,0.481164,0.487619,0.460145,0.467456,0.479239,0.499863,0.470588,1
0.501229,0.548387,0.435897,0.525246,0.524819,0.503106,0.494477,0.506708,0.499863,0.496114,1
0.501229,0.518156,0.51773,0.525246,0.522581,0.462121,0.53125,0.491465,0.457083,0.518556,0
0.54321,0.525963,0.565594,0.481164,0.438144,0.513656,0.487676,0.544974,0.503883,0.502555,0
0.450549,0.507863,0.527027,0.523989,0.534702,0.530892,0.463158,0.499353,0.503883,0.514286,0
0.521495,0.511305,0.565594,0.505829,0.487619,0.493827,0.467456,0.467672,0.505814,0.470588,0
0.52983,0.504717,0.497972,0.525246,0.514382,0.508671,0.502106,0.492857,0.497414,0.470588,1
0.542403,0.50883,0.487738,0.497512,0.533061,0.508671,0.523727,0.544974,0.503883,0.424386,0
0.52983,0.548387,0.455446,0.498615,0.474946,0.508671,0.458839,0.513423,0.503883,0.502555,0
0.469274,0.518519,0.454039,0.472934,0.438144,0.536116,0.515873,0.491465,0.622642,0.518556,1
0.469274,0.504,0.561508,0.523989,0.409091,0.489831,0.518595,0.499353,0.457083,0.510811,1
0.501229,0.507246,0.497972,0.523989,0.534702,0.486692,0.467456,0.467672,0.503883,0.424386,0
0.471641,0.543799,0.470037,0.472814,0.534702,0.536116,0.460425,0.506708,0.499863,0.473513,1
0.515086,0.543799,0.421169,0.523989,0.464,0.494444,0.556116,0.445918,0.470158,0.470588,1
0.501906,0.504318,0.491429,0.505829,0.482173,0.516867,0.523727,0.445918,0.476318,0.514286,0
0.524364,0.509764,0.481521,0.472814,0.4884,0.524,0.494477,0.50303,0.499863,0.516721,1
0.481781,0.511305,0.505952,0.407035,0.529592,0.441341,0.509972,0.551313,0.499863,0.510811,0
0.52983,0.518156,0.533333,0.525246,0.534702,0.467318,0.486278,0.513423,0.457083,0.497207,0
