Champions,BlueWon,BluePlayed,RedWon,RedPlayed,TotalPlayed,Bluewinrate,Redwinrate,Totalwinrate,Role1,Role2,#Role1,#Role2,PBWr,PRWr,SBWr,SRWr
Morgana,218,459,237,469,928,0.474946,0.50533,0.490302,Sup,Mid,844,0,,,,
Evelynn,182,405,202,411,816,0.449383,0.491484,0.470588,Jng,Mid,808,0,,,,
Kindred,545,1079,567,1166,2245,0.505097,0.486278,0.495323,Jng,Adc,2172,0,,,,
Jinx,62,136,71,133,269,0.455882,0.533835,0.494424,Adc,Top,266,0,,,,
Elise,233,468,251,484,952,0.497863,0.518595,0.508403,Jng,Sup,938,0,,,,
Yuumi,256,525,263,524,1049,0.487619,0.501908,0.494757,Sup,Top,1042,0,,,,
Blitzcrank,167,337,158,361,698,0.495549,0.437673,0.465616,Sup,Jng,693,0,,,,
Braum,149,292,128,267,559,0.510274,0.479401,0.495528,Sup,Mid,558,0,,,,
Alistar,782,1467,775,1522,2989,0.533061,0.509198,0.52091,Sup,Mid,2966,0,,,,
Zyra,62,112,63,111,223,0.553571,0.567568,0.560538,Sup,Mid,217,0,,,,
Xayah,81,199,81,177,376,0.407035,0.457627,0.430851,Adc,Mid,373,0,,,,
Nami,209,389,189,370,759,0.537275,0.510811,0.524374,Sup,Mid,757,0,,,,
Rell,69,154,90,175,329,0.448052,0.514286,0.483283,Sup,Top,326,0,,,,
